date,open,high,low,close,volume,return,volatility,log_return,upper_band,middle_band,lower_band,RSI,MACD,MACD_signal,MACD_hist,ADX,ATR,OBV,EMA_14,EMA_50,EMA_200,SMA_5,SMA_10,SMA_20,SMA_50,SMA_100,SMA_200,WMA_10,WMA_20,WMA_50,DEMA_10,DEMA_20,DEMA_50,TEMA_10,TEMA_20,TEMA_50,SMA_5_cross_SMA_20,SMA_10_cross_SMA_50,EMA_14_cross_EMA_50,EMA_50_cross_EMA_200,WMA_10_cross_WMA_50,DEMA_10_cross_DEMA_50,TEMA_10_cross_TEMA_50
2023-02-01,405.21,413.67,402.35,410.8,101459200.0,,,,,,,,,,,,,101459200.0,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0
2023-02-02,414.86,418.31,412.88,416.78,101654500.0,0.014556962025316311,,0.014452026588540324,,,,,,,,,,203113700.0,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0
2023-02-03,411.59,416.97,411.09,412.35,94736800.0,-0.010629108882383886,,-0.010686001363579114,,,,,,,,,,108376900.0,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0
2023-02-06,409.79,411.29,408.1,409.83,60295300.0,-0.006111313204801849,,-0.006130063711859043,,,,,,,,,,48081600.0,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0
2023-02-07,408.87,416.49,407.57,415.19,90990700.0,0.013078593563184748,,0.012993807215710453,,,,,,,,,,139072300.0,,,,412.98999999999995,,,,,,,,,,,,,,,0,0,0,0,0,0,0
2023-02-08,413.13,414.53,409.93,410.65,76227500.0,-0.010934752763794964,,-0.010994976597014684,,,,,,,,,,62844800.0,,,,412.9599999999999,,,,,,,,,,,,,,,0,0,0,0,0,0,0
2023-02-09,414.41,414.57,405.81,407.09,78694900.0,-0.008669183002556924,,-0.008706978968159723,,,,,,,,,,-15850100.0,,,,411.02199999999993,,,,,,,,,,,,,,,0,0,0,0,0,0,0
2023-02-10,405.86,408.44,405.01,408.04,70769700.0,0.002333636296642183,,0.002330917596276734,,,,,,,,,,54919600.0,,,,410.15999999999997,,,,,,,,,,,,,,,0,0,0,0,0,0,0
2023-02-13,408.72,412.97,408.24,412.83,64913500.0,0.011739045191647701,,0.011670677130981681,,,,,,,,,,119833100.0,,,,410.75999999999993,,,,,,,,,,,,,,,0,0,0,0,0,0,0
2023-02-14,411.24,415.05,408.51,412.64,88389300.0,-0.0004602378703097987,,-0.000460343812265346,,,,,,,,,,31443800.0,,,,410.2499999999999,411.62,,,,,411.20727272727277,,,,,,,,,0,0,0,0,0,0,0
